Job_Title,Company_Name,City_State,Company_Rating,salary_Range,Post_Date
Data Scientist,Hyundai America Technical Center,"Mountain View, CA",2.7,$107K-$175K (Glassdoor Est.),24h
"Data Scientist, Performance Analytics - McD Tech Labs",McD Tech Labs,"Mountain View, CA",NA,NA,10d
Data Scientist,Joby Aviation,"Santa Cruz, CA",4.1,NA,24h
ML / Data Science Intern,Splunk,"San Jose, CA",4.1,NA,8d
Data Analyst,Snowflake,"San Mateo, CA",4.2,$79K-$144K (Glassdoor Est.),12d
Machine Learning/Data Scientist Intern,Preventa Medical,"San Jose, CA",NA,NA,21d
"Senior/Staff Software Engineer, Data Infrastructure",Earnin,"Palo Alto, CA",3.7,$116K-$227K (Glassdoor Est.),12d
Data Scientist,Lorven Technologies Inc,"Santa Clara, CA",4.2,$112K-$133K (Glassdoor Est.),3d
"Data Scientist, Product Analytics - Spark AR",Facebook,"Menlo Park, CA",4.6,$126K-$198K (Glassdoor Est.),24h
Data Scientist- Apple Cloud Services,Apple,"Santa Clara, CA",4.2,$117K-$186K (Glassdoor Est.),6d
Data Scientist - Clinical Services,Livongo,"Mountain View, CA",4.7,$106K-$171K (Glassdoor Est.),3d
Data Scientist,Miles,"Redwood City, CA",1.8,NA,12d
Data Analyst Intern - Periscope,McKinsey & Company,"San Jose, CA",4.4,NA,15d
Data Scientist,IntelliPro Group Inc.,"Santa Clara, CA",4.2,$66K-$111K (Glassdoor Est.),27d
"Data Scientist II, Client Analytics",Livongo,"Mountain View, CA",4.7,$97K-$159K (Glassdoor Est.),13d
Data Science Intern,eBay,"San Jose, CA",3.7,NA,20d
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,Internal Revenue Service,"San Jose, CA",3.6,$90K-$149K (Glassdoor Est.),7d
Data Scientist,Albertsons Companies,"Pleasanton, CA",3.4,$76K-$122K (Glassdoor Est.),24h
Applied Machine Learning Scientist,Livongo,"Mountain View, CA",4.7,$109K-$188K (Glassdoor Est.),13d
"Data Scientist, Analytics - Sales & Marketing Interfaces",Facebook,"Menlo Park, CA",4.6,$119K-$188K (Glassdoor Est.),24h
Decision Scientist,Facebook,"Menlo Park, CA",4.6,$121K-$192K (Glassdoor Est.),24h
Marketing Data Analyst,"Joomag, Inc.","San Jose, CA",4,$69K-$131K (Glassdoor Est.),5d
Data Scientist - Customer Success,Zoom,"San Jose, CA",3.2,$115K-$186K (Glassdoor Est.),6d
Data Scientist - Deep Learning,"nexus IT group, Inc.","Mountain View, CA",NA,NA,26d
Machine Learning Engineer Intern,"Samsung Semiconductor, Inc.","San Jose, CA",3.5,NA,18d
Data Analytics/ Data scientist,Sharpedge Solutions Inc,"Menlo Park, CA",4.7,$90K-$145K (Glassdoor Est.),3d
Group Manager - Data Science,Intuit,"Mountain View, CA",4.3,$128K-$205K (Glassdoor Est.),13d
"Data Scientist, Crypto",a16z,"Menlo Park, CA",NA,NA,24h
Data Scientist-Machine Learning Engineer,Simple Solutions,"San Jose, CA",NA,NA,9d
"Machine Learning Engineer - Fraud Engineering, Algorithms, and Risk",Apple,"Santa Clara, CA",4.2,$134K-$210K (Glassdoor Est.),2d
